filename,type,asm_d0,asm_d1,asm_d2,asm_d3,gar_d0,gar_d1,gar_d2,gar_d3
spec_14.spectra,normal,0.8847076386418131,0.8847076386418131,1,0.6847076386418135,0.7999999999999997,0.7999999999999997,1,0.7169925001442312
spec_7.spectra,normal,0.8900844840459745,0.8900844840459745,1,0.7137762251582491,0.7999999999999997,0.7999999999999997,1,0.7169925001442312
spec_13.spectra,normal,0.8926759569312257,0.8926759569312257,1,0.6926759569312259,0.7999999999999997,0.7999999999999997,1,0.7169925001442312
spec_1.spectra,normal,0.8900844840459745,0.8900844840459745,1,0.7137762251582489,0.7999999999999997,0.7999999999999997,1,0.7169925001442312
ideal.spectra,ideal,0.8847076386418131,0.8847076386418131,1,0.6847076386418135,0.7999999999999997,0.7999999999999997,1,0.7169925001442312
strong.spectra,original,0.8339850002884625,0.8339850002884625,1,0.6339850002884625,0.7999999999999997,0.7999999999999997,1,0.7169925001442312
traffic-updated_0.spectra,trivial,0.9330025534321805,0.9330025534321805,1,0.7330025534321809,0.7999999999999998,0.7999999999999998,1,0.7169925001442312
