case_study,spec,d1_assumptions,d2_assumptions,d3_assumptions,d1_guarantees,d2_guarantees,d3_guarantees
arbiter,0,0.8174925682500678,0.8174925682500678,0,0.7999999999999998,0.7999999999999998,0.7169925001442312
lift,0,0.6775230767157655,0.6775230767157655,0,0.8764637805650192,0.8764637805650192,0
minepump,0,0.8982686721878196,0.8982686721878196,0,0.7298416734803427,0.7298416734803427,0
minepump,1,0.8982686721878196,0.8982686721878196,0,0.717879966875453,0.717879966875453,0
traffic_single,0,0.9179524900807587,0.9179524900807587,0.6928883257909029,1.0,1.0,0.75
traffic_updated,0,0.8566329683284785,0.8566329683284785,0.6757419205146218,0.7999999999999998,0.7999999999999998,0.7169925001442312
