filename,type,asm_d0,asm_d1,asm_d2,asm_d3,gar_d0,gar_d1,gar_d2,gar_d3
spec_75010.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.8918863237274595,0.8918863237274595,1,0.19999999999999996
spec_85605.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9169925001442314,0.9169925001442314,1,0.19999999999999996
spec_14486.spectra,normal,1.0,1.0,1,1.0,0.9169925001442314,0.9169925001442314,1,0.19999999999999996
spec_48368.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9169925001442312,0.9169925001442312,1,0.19999999999999996
spec_18172.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9169925001442312,0.9169925001442312,1,0.19999999999999996
spec_33651.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.8,0.8,1,0.2830074998557688
spec_106048.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9614709844115212,0.9614709844115212,1,0.19999999999999996
spec_40776.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.981378119121704,0.981378119121704,1,0.19999999999999996
spec_110413.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.8918863237274595,0.8918863237274595,1,0.19999999999999996
spec_86841.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.864385618977472,0.864385618977472,1,0.19999999999999996
spec_805.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.7999999999999997,0.7999999999999997,1,0.2830074998557688
spec_98804.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9169925001442314,0.9169925001442314,1,0.19999999999999996
spec_30815.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.8643856189774723,0.8643856189774723,1,0.23852901558847917
spec_43932.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.8643856189774723,0.8643856189774723,1,0.19999999999999996
spec_28142.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.8,0.8,1,0.2830074998557688
spec_80153.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.8643856189774723,0.8643856189774723,1,0.23852901558847917
spec_96508.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,1.0,1.0,1,0.19999999999999996
spec_70746.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.864385618977472,0.864385618977472,1,0.23852901558847917
spec_5567.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.8,0.8,1,0.2830074998557688
spec_36107.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9614709844115208,0.9614709844115208,1,0.19999999999999996
spec_45020.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.940087943628218,0.940087943628218,1,0.19999999999999996
spec_9093.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.7999999999999998,0.7999999999999998,1,0.2830074998557688
spec_57591.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.8,0.8,1,0.2830074998557688
spec_78358.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.8,0.8,1,0.2830074998557688
spec_73902.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,1.0000000000000002,1.0000000000000002,1,0.19999999999999996
spec_6969.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.8643856189774723,0.8643856189774723,1,0.23852901558847917
spec_95906.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9169925001442312,0.9169925001442312,1,0.19999999999999996
spec_2883.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.7999999999999997,0.7999999999999997,1,0.2830074998557688
spec_23952.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.8,0.8,1,0.2830074998557688
spec_50875.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9614709844115208,0.9614709844115208,1,0.19999999999999996
spec_15070.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.8339850002884625,0.8339850002884625,1,0.2830074998557688
spec_66157.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9813781191217036,0.9813781191217036,1,0.19999999999999996
spec_96742.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9169925001442314,0.9169925001442314,1,0.19999999999999996
spec_80319.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9614709844115208,0.9614709844115208,1,0.19999999999999996
spec_28308.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.7999999999999999,0.7999999999999999,1,0.2830074998557688
spec_78112.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.981378119121704,0.981378119121704,1,0.19999999999999996
spec_88707.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9614709844115208,0.9614709844115208,1,0.19999999999999996
spec_41380.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.8643856189774721,0.8643856189774721,1,0.23852901558847917
spec_19584.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.7999999999999999,0.7999999999999999,1,0.2830074998557688
spec_20716.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.8,0.8,1,0.2830074998557688
spec_53631.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.8643856189774723,0.8643856189774723,1,0.19999999999999996
spec_103554.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,1.0,1.0,1,0.19999999999999996
spec_17888.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9169925001442312,0.9169925001442312,1,0.19999999999999996
spec_13962.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.8,0.8,1,0.2830074998557688
spec_60845.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,1.0000000000000002,1.0000000000000002,1,0.19999999999999996
spec_48122.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.8,0.8,1,0.2830074998557688
spec_4191.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.7999999999999997,0.7999999999999997,1,0.2830074998557688
spec_93014.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.8643856189774723,0.8643856189774723,1,0.19999999999999996
spec_10726.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9169925001442316,0.9169925001442316,1,0.19999999999999996
spec_63601.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.8643856189774723,0.8643856189774723,1,0.19999999999999996
spec_25040.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.7999999999999999,0.7999999999999999,1,0.2830074998557688
spec_56167.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9400879436282188,0.9400879436282188,1,0.23852901558847917
spec_110659.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9169925001442312,0.9169925001442312,1,0.19999999999999996
spec_106202.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.8,0.8,1,0.2830074998557688
spec_18338.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.8,0.8,1,0.2830074998557688
spec_8465.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9169925001442312,0.9169925001442312,1,0.19999999999999996
spec_18797.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.8,0.8,1,0.2830074998557688
spec_21505.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.8643856189774726,0.8643856189774726,1,0.2830074998557688
spec_52422.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9047123912114023,0.9047123912114023,1,0.23852901558847917
spec_44079.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.8643856189774723,0.8643856189774723,1,0.19999999999999996
spec_102747.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9169925001442312,0.9169925001442312,1,0.19999999999999996
spec_79301.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9614709844115208,0.9614709844115208,1,0.19999999999999996
spec_89514.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9614709844115208,0.9614709844115208,1,0.19999999999999996
spec_40193.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,1.0000000000000009,1.0000000000000009,1,0.19999999999999996
spec_10389.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.9169925001442312,0.9169925001442312,1,0.19999999999999996
spec_14263.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.8,0.8,1,0.2830074998557688
spec_67344.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9614709844115208,0.9614709844115208,1,0.19999999999999996
spec_97551.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9169925001442316,0.9169925001442316,1,0.19999999999999996
spec_101903.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.9169925001442316,0.9169925001442316,1,0.19999999999999996
spec_9676.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9169925001442316,0.9169925001442316,1,0.19999999999999996
spec_32608.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.8,0.8,1,0.2830074998557688
spec_24253.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.9169925001442316,0.9169925001442316,1,0.19999999999999996
spec_57374.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9999999999999998,0.9999999999999998,1,0.19999999999999996
spec_107011.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.9169925001442316,0.9169925001442316,1,0.19999999999999996
spec_92207.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9614709844115206,0.9614709844115206,1,0.19999999999999996
spec_11535.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.8643856189774727,0.8643856189774727,1,0.23852901558847917
spec_62412.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.8643856189774721,0.8643856189774721,1,0.19999999999999996
spec_74049.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.8000000000000002,0.8000000000000002,1,0.2830074998557688
spec_1268.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.7999999999999997,0.7999999999999997,1,0.2830074998557688
spec_49331.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.8643856189774723,0.8643856189774723,1,0.19999999999999996
spec_5382.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.7999999999999999,0.7999999999999999,1,0.2830074998557688
spec_46881.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.7999999999999997,0.7999999999999997,1,0.2830074998557688
spec_87818.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.8918863237274591,0.8918863237274591,1,0.19999999999999996
spec_112844.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9169925001442312,0.9169925001442312,1,0.19999999999999996
spec_24019.spectra,normal,0.8643856189774723,0.8643856189774723,1,1.0,0.8339850002884625,0.8339850002884625,1,0.2830074998557688
spec_32442.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,0.9169925001442312,0.9169925001442312,1,0.19999999999999996
spec_41565.spectra,normal,0.9169925001442312,0.9169925001442312,1,1.0,1.0000000000000004,1.0000000000000004,1,0.19999999999999996
