filename,type,asm_d0,asm_d1,asm_d2,asm_d3,gar_d0,gar_d1,gar_d2,gar_d3
spec_11.spectra,normal,0.942888325790903,0.942888325790903,1,0.6928883257909031,1.0000000000000004,1.0000000000000004,1,0.75
spec_0.spectra,normal,0.9179524900807591,0.9179524900807591,1,0.692888325790903,1.0000000000000004,1.0000000000000004,1,0.75
ideal.spectra,ideal,0.9518387305144012,0.9518387305144012,1,0.7249921567382479,1.0000000000000004,1.0000000000000004,1,0.75
strong.spectra,original,0.8962406251802891,0.8962406251802891,1,0.6462406251802891,1.0000000000000004,1.0000000000000004,1,0.75
traffic-single_0.spectra,trivial,0.9428883257909026,0.9428883257909026,1,0.692888325790903,1.0,1.0,1,0.75
