case_study,d1_assumptions,d2_assumptions,d3_assumptions,d1_guarantees,d2_guarantees,d3_guarantees
arbiter,0.8,0.8,0,0.7999999999999998,0.7999999999999998,0.7169925001442312
lift,0.6767721774954439,0.6767721774954439,0,0.8764637805650192,0.8764637805650192,0
minepump,0.823415210864095,0.823415210864095,0,0.6666666666666665,0.6666666666666665,0
traffic_single,0.8962406251802892,0.8962406251802892,0.6462406251802888,1.0,1.0,0.75
traffic_updated,0.8339850002884622,0.8339850002884622,0.6339850002884625,0.7999999999999998,0.7999999999999998,0.7169925001442312
weird_uc,1.0,1.0,0.5,0.0,0.0,0
