case_study,spec,d1_assumptions,d2_assumptions,d3_assumptions,d1_guarantees,d2_guarantees,d3_guarantees
arbiter,0,1.0,1.0,0,0.9169925001442312,0.9169925001442312,0.8
lift,0,0.6907829619521767,0.6907829619521767,0,0.8764637805650192,0.8764637805650192,0
minepump,0,0.9441687945268175,0.9441687945268175,0,0.861654166907052,0.861654166907052,0
minepump,1,0.9441687945268175,0.9441687945268175,0,0.861654166907052,0.861654166907052,0
traffic_single,0,0.9428883257909026,0.9428883257909026,0.692888325790903,1.0,1.0,0.75
traffic_updated,0,0.9330025534321805,0.9330025534321805,0.7330025534321809,0.7999999999999998,0.7999999999999998,0.7169925001442312
